iteration,expected_cut
0,1.6240234375
1,2.7548828125
2,2.02197265625
3,2.60498046875
4,3.25048828125
5,2.65673828125
6,3.11083984375
7,2.74609375
8,3.11328125
9,3.2138671875
10,3.18408203125
11,3.2314453125
12,3.224609375
13,3.23095703125
14,3.2392578125
15,3.2490234375
16,3.24853515625
17,3.2265625
18,3.24853515625
19,3.22998046875
20,3.2763671875
21,3.22265625
22,3.23681640625
23,3.25146484375
24,3.234375
25,3.25244140625
26,3.24365234375
27,3.2353515625
